value1	FileName	value	Species	f. sp.	race	var	Strain	Other_Strain	Kingdom	Domain	Phylum	Subdivision	Class	Subclass	Order	Family	Genus	Database	Genome	JGI Acronims	Host	X1	typo	Host2	lifestyle	Publication
Sporothrix_brasiliensis_5110	Sporothrix_brasiliensis_5110_protein_longest	Sporothrix brasiliensis 5110	Sporothrix brasiliensis				5110		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Ophiostomatales	Ophiostomataceae	Sporothix	Genbank	GCF_000820605.1		human/murine			Mammal	Pathogenic	"Teixeira MM, de Almeida LG, Kubitschek-Barreira P, Alves FL, Kioshima ES, Abadio AK, Fernandes L, Derengowski LS, Ferreira KS, Souza RC, Ruiz JC, de Andrade NC, Paes HC, Nicola AM, Albuquerque P, Gerber AL, Martins VP, Peconick LD, Neto AV, Chaucanez CB, Silva PA, Cunha OL, de Oliveira FF, dos Santos TC, Barros AL, Soares MA, de Oliveira LM, Marini MM, Villalobos-Duno H, Cunha MM, de Hoog S, da Silveira JF, Henrissat B, Ni√±o-Vega GA, Cisalpino PS, Mora-Montes HM, Almeida SR, Stajich JE, Lopes-Bezerra LM, Vasconcelos AT, Felipe MS. Comparative genomics of the major fungal agents of human and animal Sporotrichosis: Sporothrix schenckii and Sporothrix brasiliensis. BMC Genomics. 2014 Oct 29;15:943. doi: 10.1186/1471-2164-15-943. PMID: 25351875; PMCID: PMC4226871."
Sporothrix_schenckii_1099-18	Sporothrix_schenckii_1099-18_protein_longest	Sporothrix schenckii 1099-18	Sporothrix schenckii				1099-18		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Ophiostomatales	Ophiostomataceae	Sporothix	Genbank	GCF_000961545.1		human			Mammal	Pathogenic	"Teixeira MM, de Almeida LG, Kubitschek-Barreira P, Alves FL, Kioshima ES, Abadio AK, Fernandes L, Derengowski LS, Ferreira KS, Souza RC, Ruiz JC, de Andrade NC, Paes HC, Nicola AM, Albuquerque P, Gerber AL, Martins VP, Peconick LD, Neto AV, Chaucanez CB, Silva PA, Cunha OL, de Oliveira FF, dos Santos TC, Barros AL, Soares MA, de Oliveira LM, Marini MM, Villalobos-Duno H, Cunha MM, de Hoog S, da Silveira JF, Henrissat B, Ni√±o-Vega GA, Cisalpino PS, Mora-Montes HM, Almeida SR, Stajich JE, Lopes-Bezerra LM, Vasconcelos AT, Felipe MS. Comparative genomics of the major fungal agents of human and animal Sporotrichosis: Sporothrix schenckii and Sporothrix brasiliensis. BMC Genomics. 2014 Oct 29;15:943. doi: 10.1186/1471-2164-15-943. PMID: 25351875; PMCID: PMC4226871."
Candida_albicans_SC5314	Candida_albicans_SC5314_GeneCatalog_proteins_20160604.aa	Candida albicans SC5314	Candida albicans				SC5314		Fungi	Dikarya	Ascomycota	Saccharomycotina	Pichiomycetes		Serinales	Debaryomycetaceae	Candida	JGI	Canalb1	Canalb1	human			Mammal	Pathogenic	"Muzzey, D., Schwartz, K., Weissman, J. S., & Sherlock, G. (2013). Assembly of a phased diploid Candida albicans genome facilitates allele-specific measurements and provides a simple model for repeat and indel structure.†Genome biology,†14(9), R97. https://doi.org/10.1186/gb-2013-14-9-r97; van het Hoog, M., Rast, T. J., Martchenko, M., Grindle, S., Dignard, D., Hogues, H., Cuomo, C., Berriman, M., Scherer, S., Magee, B. B., Whiteway, M., Chibana, H., Nantel, A., & Magee, P. T. (2007). Assembly of the Candida albicans genome into sixteen supercontigs aligned on the eight chromosomes. Genome biology, 8(4), R52. https://doi.org/10.1186/gb-2007-8-4-r52; Jones, T., Federspiel, N. A., Chibana, H., Dungan, J., Kalman, S., Magee, B. B., Newport, G., Thorstenson, Y. R., Agabian, N., Magee, P. T., Davis, R. W., & Scherer, S. (2004). The diploid genome sequence of Candida albicans. Proceedings of the National Academy of Sciences of the United States of America, 101(19), 7329Äì7334. https://doi.org/10.1073/pnas.0401648101"
Mucor_circinelloides_1006-PhL	Mucor_circinelloides_1006-PhL_protein_longest	Mucor circinelloides 1006 PhL	Mucor circinelloides				1006 PhL		Fungi	Mycoromyceta	Mycoromycota	Mucoromycotina	Mucoromycetes		Mucorales	Mucoraceae	Mucor	Genbank	GCA_000401635.1		human/murine/insects	arbuscular mycorrhiza		Mammal	Pathogenic	"Lee, S. C., Billmyre, R. B., Li, A., Carson, S., Sykes, S. M., Huh, E. Y., Mieczkowski, P., Ko, D. C., Cuomo, C. A., & Heitman, J. (2014). Analysis of a food-borne fungal pathogen outbreak: virulence and genome of a Mucor circinelloides isolate from yogurt.†mBio,†5(4), e01390-14. https://doi.org/10.1128/mBio.01390-14"
Aspergillus_fumigatus_Af293	Aspergillus_fumigatus_Af293_GeneCatalog_proteins_20120808.aa	Aspergillus_fumigatus_Af293	Aspergillus fumigatus				Af293		Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales	Aspergillaceae	Aspergillus	JGI	Aspfu1	Aspfu1	Human		Mamals	Mammal	Saprotrophic	"Nierman WC, Pain A, Anderson MJ, Wortman JR, Kim HS, Arroyo J, Berriman M, Abe K, Archer DB, Bermejo C, Bennett J, Bowyer P, Chen D, Collins M, Coulsen R, Davies R, Dyer PS, Farman M, Fedorova N, Fedorova N, Feldblyum TV, Fischer R, Fosker N, Fraser A, GarcÌa JL, GarcÌa MJ, Goble A, Goldman GH, Gomi K, Griffith-Jones S, Gwilliam R, Haas B, Haas H, Harris D, Horiuchi H, Huang J, Humphray S, JimÈnez J, Keller N, Khouri H, Kitamoto K, Kobayashi T, Konzack S, Kulkarni R, Kumagai T, Lafon A, LatgÈ JP, Li W, Lord A, Lu C, Majoros WH, May GS, Miller BL, Mohamoud Y, Molina M, Monod M, Mouyna I, Mulligan S, Murphy L, O'Neil S, Paulsen I, PeÒalva MA, Pertea M, Price C, Pritchard BL, Quail MA, Rabbinowitsch E, Rawlins N, Rajandream MA, Reichard U, Renauld H, Robson GD, Rodriguez de CÛrdoba S, RodrÌguez-PeÒa JM, Ronning CM, Rutter S, Salzberg SL, Sanchez M, S·nchez-Ferrero JC, Saunders D, Seeger K, Squares R, Squares S, Takeuchi M, Tekaia F, Turner G, Vazquez de Aldana CR, Weidman J, White O, Woodward J, Yu JH, Fraser C, Galagan JE, Asai K, Machida M, Hall N, Barrell B, Denning DW. Genomic sequence of the Pathogenic and allergenic filamentous fungus Aspergillus fumigatus. Nature. 2005 Dec 22;438(7071):1151-6. doi: 10.1038/nature04332; Arnaud MB, Cerqueira GC, Inglis DO, Skrzypek MS, Binkley J, Chibucos MC, Crabtree J, Howarth C, Orvis J, Shah P, Wymore F, Binkley G, Miyasato SR, Simison M, Sherlock G, Wortman JR. The Aspergillus Genome Database (AspGD): recent developments in comprehensive multispecies curation, comparative genomics and community resources. Nucleic Acids Res. 2012 Jan;40(Database issue):D653-9. PMID: 22080559;"
Aspergillus_nidulans_FGSC_A4	Aspergillus_nidulans_FGSC_A4_GeneCatalog_proteins_20110130.aa	Aspergillus_nidulans_FGSC_A4	Aspergillus nidulans				FGSC A4	NRRL 194	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales	Aspergillaceae	Aspergillus	JGI	Aspnid1	Aspnid1	Plants/Human		Mamals	Saprotroph	Saprotrophic	"Galagan JE et al., Sequencing of Aspergillus nidulans and comparative analysis with A. fumigatus and A. oryzae., Nature, 2005 Dec 22;438(7071):1105-15"
Aspergillus_niger_NRRL3	Aspergillus_niger_NRRL3_CSFG_models_2014-01-21	Aspergillus_niger_NRRL3_CSFG_models_2014-01-21	Aspergillus niger				NRRL 3		Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales	Aspergillaceae	Aspergillus	JGI	Aspni_NRRL3_1	Aspni_NRRL3_1	Human			Saprotroph	Saprotrophic	"Vesth TC, et al. Investigation of inter- and intraspecies variation through genome sequencing of Aspergillus section Nigri. Nat Genet. 2018 Dec;50(12):1688-1695. doi: 10.1038/s41588-018-0246-1; Aguilar-Pontes MV, et al. The gold-standard genome of Aspergillus niger NRRL 3 enables a detailed view of the diversity of sugar catabolism in fungi. Stud Mycol. 2018 Sep;91():61-78. doi: 10.1016/j.simyco.2018.10.001 "
Fusarium_venenatum_MPI-CAGE-CH-0201	Fusarium_venenatum_MPI-CAGE-CH-0201_GeneCatalog_proteins_20180620.aa	Fusarium venenatum MPI-CAGE-CH-0201	Fusarium venenatum				MPI-CAGE-CH-0201		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusven1	Fusven1				Saprotroph	Saprotrophic	"Mesny F, Miyauchi S, Thiergart T, Pickel B, Atanasova L, Karlsson M, H¸ttel B, Barry KW, Haridas S, Chen C, Bauer D, Andreopoulos W, Pangilinan J, LaButti K, Riley R, Lipzen A, Clum A, Drula E, Henrissat B, Kohler A, Grigoriev IV, Martin FM, Hacquard S. Genetic determinants of endophytism in the Arabidopsis root mycobiome. Nat Commun. 2021 Dec 10;12(1):7227. doi: 10.1038/s41467-021-27479-y"""
Neurospora_crassa_OR74	Neurospora_crassa_OR74_GeneCatalog_proteins_20130412.aa	Neurospora_crassa_OR74_JGI_GeneCatalog_proteins_20130412.aa	Neurospora crassa				OR74A		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Sordariales	Sordariaceae	Neurospora	JGI	Neucr2	Neucr2	emerging pathogen/Pinus			Saprotroph	Saprotrophic	"Galagan JE, et al. The genome sequence of the filamentous fungus Neurospora crassa. Nature. 2003 Apr 24;422(6934):859-68. doi: 10.1038/nature01554 "
TreeseiV2_FilteredModelsv2.0.proteins.fasta	TreeseiV2_FilteredModelsv2.0.proteins	TreeseiV2_FilteredModelsv2.0.proteins	Trichoderma reesei						Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Hypocreaceae	Trichoderma	JGI	Trire2	Trire2	Non-Pathogenic			Saprotroph	Saprotrophic	"Martinez D, et al. Genome sequencing and analysis of the biomass-degrading fungus Trichoderma reesei (syn. Hypocrea jecorina). Nat Biotechnol. 2008 May;26(5):553-60. doi: 10.1038/nbt1403"
Trichoderma_atroviride_IMI206040	Trichoderma_atroviride_IMI206040_protein_longest	Trichoderma atroviride IMI 206040	Trichoderma atroviride				IMI 206040		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Hypocreaceae	Trichoderma	Refseq	GCF_000171015.1					Saprotroph	Saprotrophic	"Kubicek, C. P., Herrera-Estrella, A., Seidl-Seiboth, V., Martinez, D. A., Druzhinina, I. S., Thon, M., Zeilinger, S., Casas-Flores, S., Horwitz, B. A., Mukherjee, P. K., Mukherjee, M., Kredics, L., Alcaraz, L. D., Aerts, A., Antal, Z., Atanasova, L., Cervantes-Badillo, M. G., Challacombe, J., Chertkov, O., McCluskey, K., Ä¶ Grigoriev, I. V. (2011). Comparative genome sequence analysis underscores mycoparasitism as the ancestral life style of Trichoderma.†Genome biology,†12(4), R40. https://doi.org/10.1186/gb-2011-12-4-r40"
Trichoderma_parareesei_CBS125925	Trichoderma_parareesei_CBS125925_GeneCatalog_proteins_20180920.aa	Trichoderma parareesei CBS 125925	Trichoderma parareesei				CBS 125925		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Hypocreaceae	Trichoderma	JGI	Tripar1	Tripar1				Saprotroph	Saprotrophic	"Yang, D., Pomraning, K., Kopchinskiy, A., Karimi Aghcheh, R., Atanasova, L., Chenthamara, K., Baker, S. E., Zhang, R., Shen, Q., Freitag, M., Kubicek, C. P., & Druzhinina, I. S. (2015). Genome Sequence and Annotation of Trichoderma parareesei, the Ancestor of the Cellulase Producer Trichoderma reesei.†Genome announcements,†3(4), e00885-15. https://doi.org/10.1128/genomeA.00885-15"
Trichoderma_simmonsii_GH-Sj1	Trichoderma_simmonsii_GH-Sj1_protein_longest	Trichoderma simmonsii GH-Sj1	Trichoderma simmonsii				GH-Sj1		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Hypocreaceae	Trichoderma	Genbank	GCA_019565615.1					Saprotroph	Saprotrophic	"Chung, D., Kwon, Y. M., & Yang, Y. (2021). Telomere-to-telomere genome assembly of asparaginase-producing Trichoderma simmonsii.†BMC genomics,†22(1), 830. https://doi.org/10.1186/s12864-021-08162-4"
Trichoderma_virens_Gv29-8	Trichoderma_virens_Gv29-8_Tvirens_v2.FrozenGeneCatalog_20100318.proteins	Trichoderma virens Gv29-8	Trichoderma virens				Gv29-8		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Hypocreaceae	Trichoderma	JGI	TriviGv29_8_2	TriviGv29_8_2				Saprotroph	Saprotrophic	"Kubicek, C. P., Herrera-Estrella, A., Seidl-Seiboth, V., Martinez, D. A., Druzhinina, I. S., Thon, M., Zeilinger, S., Casas-Flores, S., Horwitz, B. A., Mukherjee, P. K., Mukherjee, M., Kredics, L., Alcaraz, L. D., Aerts, A., Antal, Z., Atanasova, L., Cervantes-Badillo, M. G., Challacombe, J., Chertkov, O., McCluskey, K., Ä¶ Grigoriev, I. V. (2011). Comparative genome sequence analysis underscores mycoparasitism as the ancestral life style of Trichoderma.†Genome biology,†12(4), R40. https://doi.org/10.1186/gb-2011-12-4-r40"
Saccharomyces_cerevisiae_S288C	Saccharomyces_cerevisiae_S288C_GeneCatalog_proteins_20101210.aa	Saccharomyces_cerevisiae_S288C_refseq	Saccharomyces cerevisiae				S288C		Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales	Saccharomycetaceae	Saccharomyces	JGI	Sacce1	Sacce1	Non-Pathogenic/emerging human pathogen			Mammal	Saprotrophic	"Engel SR et al., New data and collaborations at the Saccharomyces Genome Database: updated reference genome, alleles, and the Alliance of Genome Resources., Genetics, 2022 Apr 4;220(4); Foury F et al., The complete sequence of the mitochondrial genome of Saccharomyces cerevisiae., FEBS Lett, 1998 Dec 4;440(3):325-31; Jacq C et al., The nucleotide sequence of Saccharomyces cerevisiae chromosome IV., Nature, 1997 May 29;387(6632 Suppl):75-8; Dietrich FS et al., The nucleotide sequence of Saccharomyces cerevisiae chromosome V., Nature, 1997 May 29;387(6632 Suppl):78-81; Tettelin H et al., The nucleotide sequence of Saccharomyces cerevisiae chromosome VII., Nature, 1997 May 29;387(6632 Suppl):81-4; Churcher C et al., The nucleotide sequence of Saccharomyces cerevisiae chromosome IX., Nature, 1997 May 29;387(6632 Suppl):84-7; Johnston M et al., The nucleotide sequence of Saccharomyces cerevisiae chromosome XII., Nature, 1997 May 29;387(6632 Suppl):87-90; Bowman S et al., The nucleotide sequence of Saccharomyces cerevisiae chromosome XIII., Nature, 1997 May 29;387(6632 Suppl):90-3; Philippsen P et al., The nucleotide sequence of Saccharomyces cerevisiae chromosome XIV and its evolutionary implications., Nature, 1997 May 29;387(6632 Suppl):93-8; Dujon B et al., The nucleotide sequence of Saccharomyces cerevisiae chromosome XV., Nature, 1997 May 29;387(6632 Suppl):98-102; Bussey H et al., The nucleotide sequence of Saccharomyces cerevisiae chromosome XVI., Nature, 1997 May 29;387(6632 Suppl):103-5; Goffeau A et al., Life with 6000 genes., Science, 1996 Oct 25;274(5287):546, 563-7; Galibert F et al., Complete nucleotide sequence of Saccharomyces cerevisiae chromosome X., EMBO J, 1996 May 1;15(9):2031-49; Murakami Y et al., Analysis of the nucleotide sequence of chromosome VI from Saccharomyces cerevisiae., Nat Genet, 1995 Jul;10(3):261-8; Bussey H et al., The nucleotide sequence of chromosome I from Saccharomyces cerevisiae., Proc Natl Acad Sci U S A, 1995 Apr 25;92(9):3809-13; Johnston M et al., Complete nucleotide sequence of Saccharomyces cerevisiae chromosome VIII., Science, 1994 Sep 30;265(5181):2077-82; Dujon B et al., Complete DNA sequence of yeast chromosome XI., Nature, 1994 Jun 2;369(6479):371-8; Feldmann H et al., Complete DNA sequence of yeast chromosome II., EMBO J, 1994 Dec 15;13(24):5795-809; Oliver SG et al., The complete DNA sequence of yeast chromosome III., Nature, 1992 May 7;357(6373):38-46"
Schizosaccharomyces_pombe	Schizosaccharomyces_pombe_GeneCatalog_proteins_20130111.aa	Schizosaccharomyces_pombe	Schizosaccharomyces pombe						Fungi	Dikarya	Ascomycota	Taphrinomycotina	Schizosaccharomycetes		Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	JGI	Schpo1	Schpo1	Non-Pathogenic			Saprotroph	Saprotrophic	"Sch√§fer B et al., Transcription and RNA-processing in fission yeast mitochondria., RNA, 2005 May;11(5):785-95; Wood V et al., The genome sequence of Schizosaccharomyces pombe., Nature, 2002 Feb 21;415(6874):871-80; Trinkl H et al., Nucleotide sequence of the gene encoding the small ribosomal RNA in the mitochondrial genome of the fission yeast Schizosaccharomyces pombe., Nucleic Acids Res, 1989 Aug 25;17(16):6730; Lang BF et al., The mitochondrial genome of the fission yeast, Schizosaccharomyces pombe. Sequence of the large-subunit ribosomal RNA gene, comparison of potential secondary structure in fungal mitochondrial large-subunit rRNAs and evolutionary considerations., Eur J Biochem, 1987 Dec 15;169(3):527-37; Lang BF et al., The mitochondrial genome of the fission yeast Schizosaccharomyces pombe. The cytochrome b gene has an intron closely related to the first two introns in the Saccharomyces cerevisiae cox1 gene., J Mol Biol, 1985 Aug 5;184(3):353-66; Lang BF The mitochondrial genome of the fission yeast Schizosaccharomyces pombe: highly homologous introns are inserted at the same position of the otherwise less conserved cox1 genes in Schizosaccharomyces pombe and Aspergillus nidulans., EMBO J, 1984 Sep;3(9):2129-36"
Phanerochaete_chrysosporium_RP-78	Phanerochaete_chrysosporium_RP-78_GeneCatalog_proteins_20131210.aa	Phanerochaete chrysosporium RP-78	Phanerochaete chrysosporium				RP-78		Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes		Polyporales	Phanerochaetaceae	Phanerochaete	JGI	Phchr2	Phchr2				Saprotroph	Saprotrophic	"Ohm RA, Riley R, Salamov A, Min B, Choi IG, Grigoriev IV Genomics of wood-degrading fungi. Fungal Genet Biol. 2014 Nov;72():82-90. doi: 10.1016/j.fgb.2014.05.001"
Schizophyllum_commune_H4-8	Schizophyllum_commune_H4-8_GeneCatalog_proteins_20130812.aa	Schizophyllum commune H4-8	Schizophyllum commune				H4-8		Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Schizophyllaceae	Schizophyllum	JGI	Schco3	Schco3				Saprotroph	Saprotrophic	"Marian, I. M., Vonk, P. J., Valdes, I. D., Barry, K., Bostock, B., Carver, A., Daum, C., Lerner, H., Lipzen, A., Park, H., Schuller, M. B. P., Tegelaar, M., Tritt, A., Schmutz, J., Grimwood, J., Lugones, L. G., Choi, I. G., W√∂sten, H. A. B., Grigoriev, I. V., & Ohm, R. A. (2022). The Transcription Factor Roc1 Is a Key Regulator of Cellulose Degradation in the Wood-Decaying Mushroom Schizophyllum commune. mBio, 13(3), e0062822. https://doi.org/10.1128/mbio.00628-22; Ohm, R. A., de Jong, J. F., Lugones, L. G., Aerts, A., Kothe, E., Stajich, J. E., de Vries, R. P., Record, E., Levasseur, A., Baker, S. E., Bartholomew, K. A., Coutinho, P. M., Erdmann, S., Fowler, T. J., Gathman, A. C., Lombard, V., Henrissat, B., Knabe, N., K√ºes, U., Lilly, W. W., Ä¶ W√∂sten, H. A. (2010). Genome sequence of the model mushroom Schizophyllum commune. Nature biotechnology, 28(9), 957Äì963. https://doi.org/10.1038/nbt.1643"
Mucor_mucedoNRRL3635	Mucor_mucedoNRRL3635_GeneCatalog_proteins_20181129.aa	Mucor mucedo NRRL 3635	Mucor mucedo				NRRL 3635		Fungi	Mycoromyceta	Mycoromycota	Mucoromycotina	Mucoromycetes		Mucorales	Mucoraceae	Mucor	JGI	Mucmuc1	Mucmuc1		arbuscular mycorrhiza		Plant	Saprotrophic	"Wang Y, Chang Y, Orta√±ez J, Pe√±a JF, Carter-House D, Reynolds NK, Smith ME, Benny G, Mondo SJ, Salamov A, Lipzen A, Pangilinan J, Guo J, LaButti K, Andreopolous W, Tritt A, Keymanesh K, Yan M, Barry K, Grigoriev IV, Spatafora JW, Stajich JE. Divergent Evolution of Early Terrestrial Fungi Reveals the Evolution of Mucormycosis Pathogenicity Factors. Genome Biol Evol. 2023 Apr 6;15(4):evad046. doi: 10.1093/gbe/evad046. PMID: 36930540; PMCID: PMC10079182."
Mucor_plumbeus_CBS226.32	Mucor_plumbeus_CBS226.32_protein_longest	Mucor plumbeus CBS 226.32	Mucor plumbeus				CBS 226.32		Fungi	Mycoromyceta	Mycoromycota	Mucoromycotina	Mucoromycetes		Mucorales	Mucoraceae	Mucor	Genbank	GCA_016758945.1			arbuscular mycorrhiza		Plant	Saprotrophic	"Muszewska, A., Okrasi≈Ñska, A., Steczkiewicz, K., Drgas, O., Or≈Çowska, M., Perli≈Ñska-Lenart, U., Aleksandrzak-Piekarczyk, T., Szatraj, K., Zielenkiewicz, U., Pi≈Çsyk, S., Malc, E., Mieczkowski, P., Kruszewska, J. S., Bernat, P., & Paw≈Çowska, J. (2021). Metabolic Potential, Ecology and Presence of Associated Bacteria Is Reflected in Genomic Diversity of Mucoromycotina.†Frontiers in microbiology,†12, 636986. https://doi.org/10.3389/fmicb.2021.636986"
Rhizophagus_clarus_HR1	Rhizophagus_clarus_HR1_protein_longest	Rhizoglomus clarum (Rhizophagus clarus) HR1	Rhizophagus clarum				HR1		Fungi	Mucoromyceta	Glomeromycota	Glomeromycotina	Glomeromycetes			Glomeraceae	Rhizophagus	Genbank	GCA_015698045.1		"strawberry, maize, soybean, cotton, spearming, tomato"	arbuscular mycorrhiza		Plant	Symbiotic	"Kobayashi, Y., Maeda, T., Yamaguchi, K., Kameoka, H., Tanaka, S., Ezawa, T., Shigenobu, S., & Kawaguchi, M. (2018). The genome of Rhizophagus clarus HR1 reveals a common genetic basis for auxotrophy among arbuscular mycorrhizal fungi.†BMC genomics,†19(1), 465. https://doi.org/10.1186/s12864-018-4853-0"
Rhizophagus_irregularis_DAOM197198	Rhizophagus_irregularis_DAOM197198_GeneCatalog_proteins_20160502.aa	Rhizoglomus irregulare (Rhizophagus irregularis) DAOM 181602 = DAOM 197198	Rhizoglomus irregulare				DAOM 197198		Fungi	Mucoromyceta	Glomeromycota	Glomeromycotina	Glomeromycetes			Glomeraceae	Rhizophagus	JGI	Rhiir2_1	Rhiir2_1	"sunflower, tomato, fabaceae, Trifolium repens, bean, reed"	arbuscular mycorrhiza		Plant	Symbiotic	"Chen ECH, Morin E, Beaudet D, Noel J, Yildirir G, Ndikumana S, Charron P, St-Onge C, Giorgi J, Kr¸ger M, Marton T, Ropars J, Grigoriev IV, Hainaut M, Henrissat B, Roux C, Martin F, Corradi N. High intraspecific genome diversity in the model arbuscular mycorrhizal symbiont Rhizophagus irregularis. New Phytol. 2018 Dec;220(4):1161-1171. doi: 10.1111/nph.14989"
